search_date, departure_date, departure_time, arrival_date, arrival_time, price, flight_number, flight_duration, departure_airport, departure_aircode, arrival_airport, arrival_aircode, flight_key, seats_available
2023-03-03,2023-05-09,09:25,11:50,80.51,FR 6456,02:25,CRL,Brussels (Charleroi),IBZ,Ibiza,FR~6456~ ~~CRL~05/09/2023 09:25~IBZ~05/09/2023 11:50~~,4
2023-03-03,2023-05-11,10:20,12:45,95.41,FR 6456,02:25,CRL,Brussels (Charleroi),IBZ,Ibiza,FR~6456~ ~~CRL~05/11/2023 10:20~IBZ~05/11/2023 12:45~~,-1
2023-03-03,2023-05-12,16:15,18:40,127.33,FR 6456,02:25,CRL,Brussels (Charleroi),IBZ,Ibiza,FR~6456~ ~~CRL~05/12/2023 16:15~IBZ~05/12/2023 18:40~~,-1
2023-03-03,2023-05-14,07:30,09:55,83.81,FR 6456,02:25,CRL,Brussels (Charleroi),IBZ,Ibiza,FR~6456~ ~~CRL~05/14/2023 07:30~IBZ~05/14/2023 09:55~~,2
2023-03-03,2023-05-16,09:25,11:50,99.99,FR 6456,02:25,CRL,Brussels (Charleroi),IBZ,Ibiza,FR~6456~ ~~CRL~05/16/2023 09:25~IBZ~05/16/2023 11:50~~,1
2023-03-03,2023-05-18,10:20,12:45,313.28,FR 6456,02:25,CRL,Brussels (Charleroi),IBZ,Ibiza,FR~6456~ ~~CRL~05/18/2023 10:20~IBZ~05/18/2023 12:45~~,5
2023-03-03,2023-05-19,16:15,18:40,109.73,FR 6456,02:25,CRL,Brussels (Charleroi),IBZ,Ibiza,FR~6456~ ~~CRL~05/19/2023 16:15~IBZ~05/19/2023 18:40~~,5
2023-03-03,2023-05-21,07:30,09:55,47.99,FR 6456,02:25,CRL,Brussels (Charleroi),IBZ,Ibiza,FR~6456~ ~~CRL~05/21/2023 07:30~IBZ~05/21/2023 09:55~~,-1
2023-03-03,2023-05-23,09:25,11:50,104.42,FR 6456,02:25,CRL,Brussels (Charleroi),IBZ,Ibiza,FR~6456~ ~~CRL~05/23/2023 09:25~IBZ~05/23/2023 11:50~~,2
2023-03-03,2023-05-25,10:20,12:45,238.99,FR 6456,02:25,CRL,Brussels (Charleroi),IBZ,Ibiza,FR~6456~ ~~CRL~05/25/2023 10:20~IBZ~05/25/2023 12:45~~,-1
